observer,genotype,time.off,bends,,tail.touch
JB,N2,5,5,,N
JB,N2,5,7,,Y
JB,N2,5,2,,Y
JB,N2,5,5,,Y
JB,N2,5,4,,Y
JB,N2,5,8,,Y
JB,N2,5,2,,Y
JB,N2,5,3,,Y
JB,N2,5,3,,N
JB,N2,5,6,,N
JB,N2,5,4,,Y
JB,N2,5,4,,Y
JB,N2,5,3,,N
JB,N2,5,8,,Y
JB,N2,5,5,,Y
JB,N2,5,4,,Y
JB,N2,5,4,,Y
JB,N2,5,4,,Y
JB,N2,5,3,,Y
JB,N2,5,5,,Y
JB,cest-1.2,5,3,,N
JB,cest-1.2,5,3,,N
JB,cest-1.2,5,3,,Y
JB,cest-1.2,5,4,,N
JB,cest-1.2,5,11,,Y
JB,cest-1.2,5,2,,N
JB,cest-1.2,5,2,,Y
JB,cest-1.2,5,3,,Y
JB,cest-1.2,5,3,,Y
JB,cest-1.2,5,4,,Y
JB,cest-1.2,5,2,,Y
JB,cest-1.2,5,3,,Y
JB,cest-1.2,5,3,,Y
JB,cest-1.2,5,4,,Y
JB,cest-1.2,5,4,,N
JB,cest-1.2,5,6,,N
JB,cest-1.2,5,7,,N
JB,cest-1.2,5,4,,Y
JB,cest-1.2,5,3,,Y
JB,cest-1.2,5,5,,Y
