observer,genotype,bends,tail.touch
JB,cest-1.2,4,Y
JB,cest-1.2,5,N
JB,cest-1.2,2,Y
JB,cest-1.2,4,N
JB,cest-1.2,3,Y
JB,cest-1.2,5,Y
JB,cest-1.2,3,Y
JB,cest-1.2,3,Y
JB,cest-1.2,4,Y
JB,cest-1.2,2,Y
JB,cest-1.2,5,Y
JB,cest-1.2,3,Y
JB,cest-1.2,6,Y
JB,cest-1.2,3,Y
JB,cest-1.2,5,Y
JB,cest-1.2,3,Y
JB,cest-1.2,5,Y
JB,cest-1.2,4,Y
JB,cest-1.2,4,Y
JB,N2,4,Y
JB,N2,4,N
JB,N2,3,N
JB,N2,3,N
JB,N2,4,Y
JB,N2,5,Y
JB,N2,3,Y
JB,N2,2,Y
JB,N2,4,Y
JB,N2,2,N
JB,N2,4,N
JB,N2,5,Y
JB,N2,2,Y
JB,N2,5,Y
JB,N2,3,Y
JB,N2,5,N
JB,N2,4,N
JB,N2,6,Y
JB,N2,5,Y
MOD,cest-1.2,3,Y
MOD,cest-1.2,3,Y
MOD,cest-1.2,3,N
MOD,cest-1.2,3,Y
MOD,cest-1.2,4,Y
MOD,cest-1.2,3,N
MOD,cest-1.2,5,N
MOD,cest-1.2,4,Y
MOD,cest-1.2,4,Y
MOD,cest-1.2,4,N
MOD,cest-1.2,6,Y
MOD,cest-1.2,4,Y
MOD,cest-1.2,4,Y
MOD,cest-1.2,7,Y
MOD,cest-1.2,5,N
MOD,cest-1.2,4,Y
MOD,cest-1.2,3,Y
MOD,cest-1.2,3,N
MOD,cest-1.2,2,N
MOD,cest-1.2,6,Y
MOD,N2,4,Y
MOD,N2,5,N
MOD,N2,5,Y
MOD,N2,5,Y
MOD,N2,3,B
MOD,N2,4,Y
MOD,N2,6,Y
MOD,N2,5,Y
MOD,N2,5,N
MOD,N2,6,Y
MOD,N2,4,N
MOD,N2,3,N
MOD,N2,6,Y
MOD,N2,3,Y
MOD,N2,6,Y
MOD,N2,4,Y
MOD,N2,2,Y
MOD,N2,3,N
MOD,N2,7,Y
MOD,N2,4,Y
MOD,N2,4,Y
