genotype,bends,tail_touch,additive
N2,2,Y,iglu#1
N2,4,Y,iglu#1
N2,5,Y,iglu#1
N2,4,Y,iglu#1
N2,5,Y,iglu#1
N2,4,Y,iglu#1
N2,3,N,iglu#1
N2,7,Y,iglu#1
N2,3,Y,iglu#1
N2,4,N,iglu#1
N2,3,Y,iglu#1
N2,3,Y,iglu#1
N2,2,Y,iglu#1
N2,5,Y,iglu#1
N2,4,N,iglu#1
N2,5,Y,iglu#1
N2,5,Y,iglu#1
N2,4,N,iglu#1
N2,4,N,iglu#1
N2,3,Y,iglu#1
N2,4,N,EtOH
N2,3,N,EtOH
N2,3,N,EtOH
N2,3,Y,EtOH
N2,4,Y,EtOH
N2,2,N,EtOH
N2,4,N,EtOH
N2,3,N,EtOH
N2,3,N,EtOH
N2,4,N,EtOH
N2,3,Y,EtOH
N2,3,Y,EtOH
N2,5,Y,EtOH
N2,3,Y,EtOH
N2,3,Y,EtOH
N2,4,Y,EtOH
N2,9,N,EtOH
N2,3,N,EtOH
N2,3,Y,EtOH
N2,4,Y,EtOH
